cleaned_tweet,product,reply,Polarity,Sentiment
cloud infrastructure service market billion spending market share amzn aws msft azure goog gcp big market estimate synergy research group,Azure,,0.0,Neutral
good morning yall point collecting whole tvr palette rolex blue pearl azure ambla atlantic green accent,Azure,,0.175,Positive
next net azure beginner series learn benefit containerizing dotnet application local development mean application azure,Azure,,-0.078125,Negative
eberwolf vocal cord expect borking mewing like little shit creature also bork,Azure,,-0.19375,Negative
finally shall know peace,Azure,,0.0,Neutral
azure lake aka opening stage see romhacks based satam,Azure,,0.0,Neutral
sketch made lasted two day sakura alt costume blooming efflorence outfit concept azure miko idea luo xiaohei gunvolt azurestrikergunvolt luminousavengerix ガンヴォルトアート luoxiaohei,Azure,,0.0,Neutral
sketch made lasted two day sakura alt costume blooming efflorence outfit concept azure miko idea luo xiaohei gunvolt azurestrikergunvolt luminousavengerix ガンヴォルトアート luoxiaohei,Azure,big sister alcyoneplease protect angelhe need love,0.0,Neutral
sketch made lasted two day sakura alt costume blooming efflorence outfit concept azure miko idea luo xiaohei gunvolt azurestrikergunvolt luminousavengerix ガンヴォルトアート luoxiaohei,Azure,look cute seeing alcyone watching make see guardian nice see outfit made sakura,0.0,Neutral
azure little cat friend wukong,Azure,,-0.1875,Negative
happy birthday,Azure,,0.8,Positive
azure lion ice cream,Azure,,0.0,Neutral
azure little cat friend wukong,Azure,,-0.1875,Negative
mean expert something netgain consider microsoft azure expert year experience service deep expertise cloud platform optimized delivery business application securityfirst mindset,Azure,,-0.15625,Negative
azure little cat friend wukong,Azure,,-0.1875,Negative
cant give microsoft entirely ill keep mind time come mean time azure suck way better alternative,Azure,,-0.10416666666666667,Negative
theyre done yet would trash rei natsu amp fuyumi dont even get single interaction dabi entire manga,Azure,,-0.03571428571428571,Negative
pick team team html cs javascript team juliaexcel scalasql python team python php sql team figma team android studio java kotlin team xcode objective swift team react native flutter ionic team aws azure linux,Azure,,0.0,Neutral
trying feel sick edit member mount maelstrom said game vtuber envtuber,Azure,,-0.5571428571428572,Negative
happy birthday,Azure,,0.8,Positive
speaking customer aws model primary talking point dont remember many questionscomments outage like highlight make aws model different amp would extremely difficult gcp azure change match,Azure,,0.1,Positive
ensure file uploaded cloud platform application virus malwarefree great post using azure container instance clamav apisecurity containerinstances storage datasecurity cloudsecurity,Azure,,0.8,Positive
cloud infrastructure service market billion spending market share amzn aws msft azure goog gcp big market estimate synergy research group,Azure,,0.0,Neutral
everyone week bootcamp week learned azure offering sql database first took course codecademy get familiar sql syntax scacloudgirl scacloudschool scaxdeimos,Azure,,0.3125,Positive
rei stop right,Azure,,0.2857142857142857,Positive
rei stop right,Azure,theyre done yet would trash rei natsu amp fuyumi dont even get single interaction dabi entire manga,0.2857142857142857,Positive
cloud infrastructure service market billion spending market share amzn aws msft azure goog gcp big market estimate synergy research group,Azure,,0.0,Neutral
azure function serverless compute service allows developer run eventdriven code without manage infrastructure,Azure,,0.0,Neutral
extract text image using azure cognitive service via,Azure,,0.0,Neutral
azure network vpn bgp azure network powershell,Azure,,0.0,Neutral
azure devops suite service help team plan collaborate build test deploy software cloud,Azure,,0.0,Neutral
azure devops suite service help team plan collaborate build test deploy software cloud,Azure,sql server relational database management system rdbms used store retrieve manage data,0.0,Neutral
binding isaac baller game youve got patience learn mod help power wash sim want sit back chill good stream game sure deep rock galactic one fav multiplayer game get friend blast,Azure,,0.02499999999999998,Positive
azure little cat friend wukong,Azure,,-0.1875,Negative
hacked cm allowed alter search result take million account well started simple click story bingbang,Azure,,0.0,Neutral
wrote thing azure password protection reporting using azure monitor arc workbook,Azure,,0.0,Neutral
azure little cat friend wukong,Azure,,-0.1875,Negative
azure little cat friend wukong,Azure,,-0.1875,Negative
advanced digital art cute gorgeous anime woman wearing dress made water sleeping shell full body long wavy azure blue hair braided hair white highlight hair azure blue watery eye full round face japanese beautiful cute young jpop idol,Azure,,0.23333333333333334,Positive
cloud infrastructure service market billion spending market share amzn aws msft azure goog gcp big market estimate synergy research group,Azure,,0.0,Neutral
azure malware created copy god fuck shit start fuck shit,Azure,,-0.3,Negative
got,Azure,,0.0,Neutral
provisioning linux virtual machine running sql server azure portal scacloudgirl scacloudschool scaxdeimos,Azure,,0.0,Neutral
create azure sql managed instance create single database task create instance via portal went step creating single database via portal cli scacloudgirl scacloudschool scaxdeimos,Azure,,-0.07142857142857142,Negative
create azure sql managed instance create single database task create instance via portal went step creating single database via portal cli scacloudgirl scacloudschool scaxdeimos,Azure,provisioning linux virtual machine running sql server azure portal scacloudgirl scacloudschool scaxdeimos,-0.07142857142857142,Negative
impressive,Azure,,1.0,Positive
database high availability microsoft offer sla availability sure zero outage easily scalable database among others takehome task create sql server window virtual machine azure portal scacloudgirl,Azure,,0.3644444444444444,Positive
database high availability microsoft offer sla availability sure zero outage easily scalable database among others takehome task create sql server window virtual machine azure portal scacloudgirl,Azure,create azure sql managed instance create single database task create instance via portal went step creating single database via portal cli scacloudgirl scacloudschool scaxdeimos,0.3644444444444444,Positive
using cloud offering azure sql database provides database easier manage allows focus data value microsoft handle security admin task database scacloudgirl scacloudschool,Azure,,0.0,Neutral
